título,disciplina,nivel,modulo,tema,tipo,texto,url,tags,origem,fonte,relevância,miniatura
Introdução big,ciência,7,terra,universo,video,"Tudo o que existia estava concentrado numa partícula única. Essa partícula teria sofrido uma imensa explosão dando origem às galáxias, as estrelas, aos planetas e outros corpos celestes constituindo o Universo de hoje.",https://www.youtube.com/watch?v=hDcWqidxvz4,"audiovisual,video,online",Youtube,,90%,
Definição de universo,ciência,7,terra,universo,texto,"Universo (do latim universum, que quer dizer ""tudo em um só, tudo combinado em um"") é o conjunto de tudo que existe, desde as minúsculas partículas, todas as formas da matéria e energia, as leis físicas que as regulam e a totalidade do espaço e do tempo.",,,Giz,,,
Comparação entre particulas pequenas e galaxias,ciência,7,terra,universo,imagem,,https://s2.glbimg.com/VbcRqRrGQMa2zxw1OpYWvm0CAyc=/e.glbimg.com/og/ed/f/original/2019/07/30/estrutura-basica-materia.jpg,ilustrativo,Galileu,https://revistagalileu.globo.com/Sociedade/Curiosidade/noticia/2020/04/teste-revela-qual-particula-elementar-combina-com-sua-personalidade.html,,
Comparação entre particulas pequenas e galaxias,ciência,7,terra,universo,imagem,,https://img.ibxk.com.br/2020/12/17/17233048437018.jpg?w=1120&h=420&mode=crop&scale=both,ilustrativo,Tecmundo,https://www.tecmundo.com.br/ciencia/208484-formas-galaxias-registram-historia-proprio-universo.htm,,
Galáxias,ciência,7,terra,universo,"imagem,texto","As galáxias são agrupamento de estrelas, nebulosas e matérias interestelares",https://s2.glbimg.com/czyFg0hW4YsZODJWLiDYBwmlYro=/0x0:960x724/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2019/S/X/nLdll5RQ6WBbUhURQvRA/m31.jpg,,,,,
Vídeo introdutório,ciência,7,terra,crosta terreste,"video,texto","o ponto mais profundo do planeta está localizado à 6.500km a partir do nível do mar. Nessa extensão, encontramos três camadas: crosta, manto e núcleo",,,Giz,,,
Vulcanismo,ciência,7,terra,crosta terreste,,"Geralmente são vistas como sinônimo de destruição, frequntemente criam ...",,,,Ciências naturais 6. ed. Moderna,,
Convergência oceânica-continental,ciência,7,terra,crosta terreste,"imagem,texto",“Nosso planeta nunca esteve em repouso”,,,Google Imagens,,,
Costa oeste do Canadá entra em alerta contra incêndios florestais,ciência,7,terra,catastrofes,,Notícia de 2 dias atrás,,,,AFP,,
Catástrofes naturais,ciência,7,terra,catastrofes,,"Através desse longo histórico de interação entre as camadas do planeta, podemos entender com mais clareza as catástrofes naturais",,,,TodaMateria,,
Vulcão no Caribe entra em erupção depois de 42 anos inativo,ciência,7,terra,catastrofes,video,Vídeo relevante,https://www.youtube.com/watch?v=Gr8qVtRlklE&ab_channel=RecordNews,audiovisual,Youtube,Vulcão no Caribe entra em erupção depois de 42 anos inativo,,
Catástrofe de Fukushima,ciência,7,terra,catastrofes,video,Vídeo relevante,https://www.youtube.com/watch?v=2T-n4ao-RYs&ab_channel=AFPPortugu%C3%AAs,audiovisual,Youtube,AFP,,
Formação de ondas gigantes,ciência,7,terra,catastrofes,"imagem,texto","Ocorre quando a influência das correntes marinhas sobre as ondas interage com a corrente de vento contrária a direção de propagação das ondas, diminuindo seu comprimento.",,,,Terra,,
Classificações de desastres naturais,ciência,7,terra,catastrofes,"imagem,texto","O conhecimento dos tipos de desastre e de sua classificação facilita a tomada de decisões específica e direcionada, assim como o encaminhamento rápido e eficiente de profissionais para atender a população em uma situação de desastre.",,,,Ofitexto,,
,ciência,7,terra,conquista espacial,,,,,,,,
,ciência,7,terra,conquista espacial,,,,,,,,
,ciência,7,terra,conquista espacial,,,,,,,,
,ciência,7,terra,conquista espacial,,,,,,,,
,ciência,7,terra,conquista espacial,,,,,,,,
